Município,Empreend,Tipo Atualiz,Exec,Proj,Lote,Status Lote,Ação,Realiz,Inic Empreend,Fim Empreend,Data do Projeto,Data Medição,% Exec,Sit Empreend,Valor Empreend,Valor Tesouro,Valor Contrap,Empreendimento,Progr,Programa,Cód.Componente,Componente,Cód Bem,Remessa,Ind Aceita,Cód. Escr. Reg,Executor,Escritório Regional,Cód Assoc,Nº Convênio,Associação
Agudos do Sul,100148,A,3,19,1,Em Execução,,257,5/14/2014,11/13/2016,10/1/2013,5/25/2016,27.45,2,"323,236.90","88,722.72",0,Escola Municipal / Reforma.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.01,ESCOLA MUNICIPAL,,10051,1,1,Agudos do Sul,Escritório Regional de Curitiba,16,1923/2013-0043,Associação dos Municípios da Região Metropolitana de Curitiba
Agudos do Sul,100157,A,3,20,1,Concluído,,1093,12/16/2014,12/17/2014,10/8/2013,12/17/2014,100,1,"40,800.00","30,000.00","10,800.00",Aquisição de 01 veículo leve para apoio à administração.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,1,Agudos do Sul,Escritório Regional de Curitiba,16,1923/2013-0004,Associação dos Municípios da Região Metropolitana de Curitiba
Agudos do Sul,100309,A,3,24,1,Concluído,,1239,12/16/2014,12/17/2014,5/7/2014,12/17/2014,100,1,"118,700.00","100,000.00","18,700.00","Aquisição de Veículo para Transporte de Passageiros sendo: Lote 1 - 02 (DOIS) VEÍCULOS TIPO VAN capacidade de transporte passageiros  7 (6+1), mínima potência efetiva líquida 85 CV e demais características técnicas constante do MODELO 07.",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.09.02,VEÍCULOS,,10051,1,1,Agudos do Sul,Escritório Regional de Curitiba,16,2023/2014-0041,Associação dos Municípios da Região Metropolitana de Curitiba
Altamira do Paraná,100116,A,5,23,1,Medição Encerrada,,1097,7/3/2014,1/20/2015,4/11/2014,1/20/2015,100,1,"30,946.75","30,946.75",0,"Urbanização / Calçadas.Construção e readequação de calçadas nas seguintes vias: 1- Av. Francisco Barbosa Diniz, com 1.650,73m² : Trecho entre 63m distante da rua 4 e 117,92m da rua Perimetral.2- Rua João Zolim , com 683.",21,PROJETO CALÇADAS PARANÁ,21.23.01.01.05,URBANIZAÇÃO /CALÇADAS,,10051,1,6,Altamira do Paraná,Escritório Regional de Guarapuava,6,2123/2013-0406,Associação dos Municípios do Centro do Paraná
Altamira do Paraná,100149,A,5,18,1,Concluído,,1092,6/16/2014,6/17/2014,9/23/2013,6/17/2014,100,1,"225,000.00","225,000.00",0,"Aquisição de 01 microônibus para saúde, motor mínima potência efetiva dev 160 CV a 2600 Rpm.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.15,VEÍCULO PARA A SAÚDE 19 PAM II,,10051,1,6,Altamira do Paraná,Escritório Regional de Guarapuava,6,1923/2013-0317,Associação dos Municípios do Centro do Paraná
Altamira do Paraná,100150,A,5,22,1,Concluído,,257,6/16/2014,8/27/2014,1/30/2014,8/27/2014,100,1,"35,432.69","35,432.69",0,Escola Municipal / Reforma.,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.04.01,ESCOLA MUNICIPAL,,10051,1,6,Altamira do Paraná,Escritório Regional de Guarapuava,6,1923/2013-0318,Associação dos Municípios do Centro do Paraná
Altamira do Paraná,100151,A,5,19,1,Concluído,,1091,4/11/2014,4/12/2014,9/23/2013,4/12/2014,100,1,"35,000.00","35,000.00",0,"Aquisição de 01 veículo leve, tipo pick-up, motor mínima potência efetiva líquida 85 CV, Flex, direção hidráulica.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.02,VEÍCULOS,,10051,1,6,Altamira do Paraná,Escritório Regional de Guarapuava,6,1923/2013-0387,Associação dos Municípios do Centro do Paraná
Altamira do Paraná,100310,A,5,24,1,Concluído,,1092,12/3/2014,12/4/2014,5/7/2014,12/4/2014,100,1,"123,000.00","99,813.36","23,186.64","Aquisição de Veículo para Saúde sendo: Lote 1 - 01 (UM) VEÍCULO tipo AMBULÂNCIA SIMPLES REMOÇÃO, mínima potência efetiva líquida 120 CV e demais características técnicas constante do MODELO 07.",20,AUXÍLIO AOS MUNICÍPIOS - SEDU,20.23.01.04.15,VEÍCULO PARA A SAÚDE 20,,10051,1,6,Altamira do Paraná,Escritório Regional de Guarapuava,6,2023/2014-0030,Associação dos Municípios do Centro do Paraná
Alto Paraíso,100152,A,350,20,1,Concluído,,1093,3/13/2014,3/14/2014,11/22/2013,3/14/2014,100,1,"334,000.00","300,000.00","34,000.00","Aquisição de 01 pá carregadeira, motor potência mínima 123 HP, demais especificações conforme MODELO 07.",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.09.01,EQUIPAMENTOS RODOVIÁRIOS - 19 PAM,,10051,1,4,Alto Paraíso,Escritório Regional de Maringá,4,1923/2013-0120,Associação dos Municípios da Região de Entre Rios
Alto Paraná,100153,A,6,33,1,Medição Encerrada,,234,12/6/2013,5/6/2014,8/19/2013,5/6/2014,100,1,"338,037.98","338,037.98",0,RECAPE - CBUQ.Rua Euclides da Cunha entre Rua Sete Quedas e Rua Barão do Rio Branco.Rua Pedro Américo entre Avenida Ipiranga e Rua Pasteur.Rua Pasteur entre Avenida Ipiranga e Rua Pedro Américo.Avenida Ouro Branco entre Rua Jabaquara e Trevo BR-376.Cruzo ,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Alto Paraná,Escritório Regional de Maringá,13,1923/2013-0121,Associação dos Municípios do Noroeste do Paraná
Alto Piquiri,100154,A,7,24,1,Concluído,,234,6/25/2014,8/25/2014,9/26/2013,8/25/2014,100,1,"415,971.35","350,000.00","65,971.35","RECAPE - TST.RUA JOSÉ ALVES - entre Rua Bom Conselho e Avenida Curitiba.RUA 13 DE MAIO (Trechos 1, 2 e 3) - entre Rua José Alves e Rua Getúlio Vargas.RUA GETÚLIO VARGAS (Trecho 1) - entre Avenida Curitiba e Rua Quitéria de Andrade.RUA QUITÉRIA DE ANDRADE ",19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Alto Piquiri,Escritório Regional de Maringá,4,1923/2013-0467,Associação dos Municípios da Região de Entre Rios
Altônia,100155,A,8,13,1,Medição Encerrada,,234,11/19/2013,12/5/2013,8/30/2013,12/5/2013,100,1,"443,516.87","431,342.97","12,173.90",RECAPE - CBUQ.Rua Marechal Deodoro da Fonseca: Entre Av. Gov. Parigot de Souza e Rua Padre José de Anchieta menos 60 m).Rua Rui Barbosa - trecho 1 (entre Rua Tiradentes e Av. XV de Novembro).Rua Rui Barbosa - trecho 2 (entre Rua Duque de Caxias e Av. Bras,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,4,Altônia,Escritório Regional de Maringá,4,1923/2013-0122,Associação dos Municípios da Região de Entre Rios
Alvorada do Sul,100156,A,9,17,1,Medição Encerrada,,223,4/28/2014,11/5/2014,10/2/2013,11/5/2014,100,1,"383,564.21","348,339.88","35,224.33",Pavimentação - TST.TRECHO 1 - RUA VEREADOR JOÃO PIOVESANA - entre Rua Rosa Imperatore Alves e Rua Prefeito Jaime Alves.TRECHO 2 - RUA PROFª MARIA DE LOURDES CHAGAS - entre Rua Rosa Imperatore Alves e Rua Prefeito Jaime Alves.TRECHO 3 - RUA ANTONIO JOSÉ CU,19,PLANO DE APOIO AO DESENVOLVIMENTO DOS MUNICÍPIOS (PAM),19.23.01.01.01,PAVIMENTAÇÃO DE VIAS URBANAS,,10051,1,3,Alvorada do Sul,Escritório Regional de Londrina,3,1923/2013-0044,Associação dos Municípios do Médio Paranapanema
